"SID","lat","lon","elev","name"
1478,58.9686,10.1478,15,"SVENNER LH"
1479,59.5667,9.2105,20,""
1480,59.7536,10.1236,8,"DRAMMEN BERSKOG"
1481,59.2297,10.3481,26,"MELSOM"
1482,59.0269,10.5242,7.7,"FERDER LH"
1483,59.1844,10.2553,87.17,"TORP"
1484,59.9119,11.58,127.76,"AURSKOG"
1485,59.6194,10.215,60,"SANDE-GALLEBERG"
1486,59.8558,10.4344,163,"ASKER"
1487,59.9228,10.8342,90,"ALNA"
1488,60.1172,10.8289,170,"HAKADAL"
1489,60.0514,10.6878,360,"BJORNHOLT"
1490,59.9844,10.6692,514,"TRYVANNSHOGDA"
1492,59.9422,10.72,96.6,"OSLO-BLINDERN"
1493,59.2856,11.1147,57,"SARPSBORG"
1494,59.3828,10.7881,53.03,"RYGGE"
1495,59.1511,10.8286,10,"STROMTANGEN LH"
1496,59.8167,11.4833,154,"HOLAND-FOSSER"
1498,59.97,12.22,153,"MAGNOR"
2013,67.7269,17.4711,542.7,"RITSEM"
2019,68.4203,18.1681,516.2,"KATTERJAKK A"
2020,68.4211,18.1714,517.3,"KATTERJAKK"
2024,67.4964,18.2944,425.45,"STORA SJOFALLET"
2028,67.9114,18.6072,1144,"TARFALA, SOL"
2029,67.9114,18.6072,1146.1,"TARFALA"
2031,68.0747,19.8394,493.51,"RENSJON"
2036,67.8542,19.0256,467.96,"NIKKALUOKTA"
2038,67.2564,20.2747,453.19,"LATNIVAARA"
2044,67.8228,20.34,446.7,"KIRUNA"
2045,67.8406,20.4106,424,"KIRUNA, SOL"
2049,67.1422,20.6458,359.83,"GALLIVARE"
2054,68.0439,21.755,360,"NEDRE SOPPERO"
2055,68.6778,21.5275,402.29,"NAIMAKKA"
2064,67.3378,22.2336,240.44,"SAITTAROVA"
2071,58.5822,16.1486,58,"NORRKOPING, SOL"
2072,67.7317,22.8269,313.24,"PARKALOMPOLO"
2080,68.4422,22.4503,331,"KARESUANDO"
2081,68.4419,22.4436,331.9,"KARESUANDO A"
2091,57.6728,18.3447,49,"VISBY, SOL"
2095,67.2036,23.39,165.9,"PAJALA"
2096,67.2167,23.4,168,"PAJALA"
2101,65.8061,15.0828,463,"HEMAVAN"
2102,65.0944,14.5086,1036.29,"STEKENJOKK"
2103,65.78,15.0644,793.03,"HEMAVAN-GIEREVARTO"
2104,65.8,15.1,473,"HEMAVAN"
2110,65.3281,15.0689,577.3,"GIELAS"
2119,66.8872,18.0197,316.6,"KVIKKJOKK ARRENJARKA A"
